INAME	GENE	CHROMO	SIMR_UP2_226	SIMR_UP2_187FR
iDx129I			0.52	2.1
YGR238C	KEL2		0.81	1.47
iNx158I			0.82	1.12
iJx235I			1.58	0.47
YLR386W			0.8	1.14
iPx341I			0.53	1.38
YLR052W			0.61	1.92
YLL035W			2.43	0.47
YBR292C			1.09	0.78
iPx407I			0.48	2.41
YAR066W			0.68	1.63
iEx355I			1.64	1.01
YLR387C			1.05	0.82
YDR541C			0.68	1.57
iOx384I			0.58	1.85
YKR095W	MLP1		0.76	1
YBL007C	SLA1		1.74	0.47
iEx021I			2.31	0.4
YLR053C			0.61	1.63
YHR130C			1.17	0.73
YGL155W	CDC43		0.71	1.42
YKL078W			0.89	1.35
iOx050I			0.59	1.46
YLL036C	PRP19		0.61	1.91
iGx604I			0.57	1.53
iOx116I			0.66	1.81
iDx398I			0.65	1.41
YMR010W			1.01	1.1
iDx064I			0.75	1.63
iNx093I			0.6	1.27
iJx170I			0.53	1.45
YGR239C	PEX21		0.73	1.29
YBR024W	SCO2		0.83	1.06
iNx159I			0.74	1.21
iJx236I			2.58	0.44
iPx342I			0.61	1.17
iPx408I			0.46	1.86
YLR119W	SRN2		0.97	1.1
iEx290I			2.37	0.68
YGL090W	LIF1		0.67	1.34
YBR025C			0.87	1.07
iOx385I			0.65	1.69
YGR173W			1.72	0.71
iEx022I			0.68	1.34
YLR054C			1.14	1.08
YHR131C			0.91	1.26
YGL156W	AMS1		0.67	1.32
YKL079W	SMY1		0.76	1.79
iOx051I			2.8	0.28
iGx605I			1.14	0.94
iOx117I			2.02	0.58
iDx399I			0.64	1.61
YMR011W	HXT2		1.33	0.92
YGL091C	NBP35		1.55	0.67
iDx065I			1.08	0.9
YBR293W			0.99	0.97
YGR174C	CBP4		1.64	0.56
iNx094I			0.74	1.55
iJx171I			1.77	0.58
YMR280C	CAT8		1.21	0.61
iJx237I			1.29	
YLR388W	RPS29A		0.55	1.29
YDR542W			1.98	0.84
iPx343I			2.9	0.26
iLx420I			0.39	2.03
YLL037W				1.83
iPx409I			0.9	1.13
YNL220W	ADE12		1.15	0.95
iEx291I			2.07	0.67
YAR068W			0.58	1.86
YLR389C	STE23		0.98	0.9
YDR543C			1.17	0.75
YBR026C	MRF1'		0.69	1.31
iAx100I			0.81	1.33
iOx386I			0.65	1.51
iGx540I			0.58	1.43
YKR097W	PCK1		2.35	0.55
iEx023I			0.58	1.85
YLR055C	SPT8		0.98	1.24
YHR132C	ECM14		0.6	1.95
YGL157W			0.77	1.27
iOx052I			0.89	0.94
YLL038C	ENT4		0.61	2.06
iGx606I			1.81	0.51
YNL221C	POP1		0.62	1.3
iOx118I			0.51	1.82
YAR069C			0.58	2.08
YMR012W	CLU1		1.16	0.66
YBR294W	SUL1		0.81	1.41
iDx066I			3.14	0.3
YKR098C	UBP11		1.58	0.72
iNx095I			0.53	
iJx172I			3.72	0.22
iJx238I			1.24	0.6
YBL009W			0.98	0.74
iPx344I			0.52	1.36
iLx421I			0.51	1.7
YMR013C	SEC59		3.17	0.39
iPx010I			0.48	1.99
iEx292I			1.78	0.79
YGL092W	NUP145		0.95	
YDR544C			1.95	0.96
YBR027C			0.9	1.16
YHL050C			0.91	1.38
iAx101I			1.21	1
iOx387I			1.97	0.5
iGx541I			0.53	1.45
iEx024I			0.6	1.77
YHR133C			0.76	1.31
YGL158W	RCK1		0.62	1.73
iOx053I			0.56	1.46
iKx130I			0.5	1.93
YLL039C	UBI4		0.65	1.43
iGx607I			0.58	1.38
iOx119I			0.45	1.75
YBR295W	PCA1		0.5	1.47
iDx067I			0.46	1.65
iNx096I			0.74	1.31
iJx173I			1.15	0.88
YMR282C	AEP2		1.19	1.08
iJx239I			1.49	0.64
YDR210W			0.55	1.42
iPx345I			0.45	1.88
iLx422I			1.64	0.5
YLR056W	ERG3		0.5	1.79
iPx011I			0.67	1.27
YBR296C	PHO89		0.85	1.02
YNL222W	SSU72		1.47	0.7
iEx293I			0.56	1.73
YGL093W	SPC105		0.39	2.08
YBR028C			0.76	1.54
iAx102I			1.53	0.78
iOx388I			0.63	1.27
iGx542I			0.93	0.86
YKR099W	BAS1		0.87	1.01
YGR176W			0.53	1.73
iEx025I			1.18	0.61
YGL159W			0.64	1.63
iOx054I			0.63	1.43
iKx131I			1.58	0.48
iGx608I			0.88	1.03
YMR014W			2.72	0.4
YGL094C	PAN2		0.7	1.34
iDx068I			0.95	1.14
iJx174I			1	0.72
iNx097I			3.19	0.27
YMR283C	RIT1		0.58	2.02
iPx280I			0.59	1.21
YDR545W	YRF1-1		0.83	1.33
YDR211W	GCD6		0.57	1.68
iPx346I			0.43	1.28
iLx423I			0.38	2
YLR057W			2.3	0.5
YHR134W			0.74	1.36
YMR015C	ERG5		2.83	0.43
iPx012I			1.66	0.63
YNL223W	AUT2		0.81	1.41
iEx294I			0.86	1.25
YBR029C	CDS1		0.5	1.49
iAx103I			1.25	1.1
iOx389I			0.46	1.67
iGx543I			3.11	0.26
iEx026I			1.04	0.9
YLR058C	SHM2		1.9	0.57
YHR135C	YCK1		0.73	1.52
iOx055I			0.4	2.12
iKx132I			0.59	1.81
iGx609I			0.44	1.47
YNL224C			0.62	1.59
YGL095C	VPS45		2.27	0.49
YBR297W				1.34
iDx069I			0.59	1.84
iNx098I			0.69	1.37
iJx175I			0.72	1.14
YDR480W	DIG2		0.67	1.4
iPx281I			0.49	1.68
YDR212W	TCP1		0.61	1.64
iPx347I			0.47	1.02
iLx424I			2.45	0.35
YMR016C	SOK2		0.89	1.34
iPx013I			0.57	1.81
YBR298C	MAL31		4.86	0.17
iEx295I			1.31	0.6
YDR481C	PHO8		1.16	0.9
iGx544I			0.53	1.57
iAx104I			0.75	1.51
iEx027I			1.39	0.69
YLR059C	YNT20		0.58	1.79
YHR136C	SPL2		0.47	1.74
iOx056I			0.44	1.93
iKx133I			0.53	1.82
YMR284W	YKU70		1.31	0.59
iGx210I			0.54	1.46
YNL225C	CNM67		0.69	1.52
YIL010W	DOT5		2.32	0.52
YGR179C			0.64	1.98
iNx099I			0.45	1.84
iJx176I			0.73	1.56
iBx330I			2.55	0.41
YMR285C			1.62	0.68
iPx282I			0.51	1.65
YHR070W			0.55	1.71
YDL130W	RPP1B		0.65	1.26
YDR213W			0.87	0.78
iPx348I			0.76	1.05
iLx425I			0.63	1.55
iPx014I			0.44	2.01
iEx296I			1.53	0.66
YDR482C			0.5	1.96
YGL096W			0.62	1.5
iGx545I			0.54	1.64
iAx105I			1.09	0.98
iEx028I			1.02	1.15
iOx057I			0.55	1.77
iKx134I			0.73	1.4
iGx211I			3.31	0.34
YIL011W			1.55	0.67
YMR017W	SPO20		0.56	2
YBR299W	MAL32		1.2	0.59
YOR200W			0.46	1.74
iJx177I			0.74	1.33
iBx331I			1.94	0.42
iPx283I			2.22	0.36
iLx360I			0.73	1.47
YHR071W	PCL5		0.58	1.35
YDL131W	LYS21		0.5	1.75
YDR214W			0.51	1.73
iPx349I			3.79	0.22
iLx426I			0.62	1.31
YHR137W	ARO9		1.02	1.03
YNL160W	YGP1		1.24	1.04
iPx015I			0.53	1.51
YOR201C	PET56		0.54	2.01
YNL226W			0.61	1.43
iEx297I			3.09	0.31
iAx040I			0.62	1.79
iGx480I			2.11	0.44
YGL097W	SRM1		0.65	1.61
iGx546I			0.96	1.17
iAx106I			0.96	1.17
iEx029I			0.58	1.81
YHR138C			1.03	0.96
YDR215C			0.84	0.83
iOx058I			0.69	1.36
iKx135I			1.31	0.88
YMR286W	MRPL33		0.63	1.26
iGx212I			0.82	0.96
YNL227C			0.67	1.55
YIL012W			1.24	0.75
YMR018W			0.74	1.63
iJx178I			1.3	0.95
YDR483W	KRE2		0.69	1.54
iBx332I			1.19	0.82
iPx284I			0.54	1.35
iLx361I			3.65	0.31
YHR072W	ERG7		0.61	1.7
YIR030C	DCG1		1.74	0.6
YDL132W	CDC53		0.74	1.4
YIL013C	PDR11		0.97	0.74
iLx427I			1.13	0.7
YNL161W	CBK1		0.86	1.2
iPx016I			0.55	1.53
iEx298I			0.73	1.52
iAx041I			0.45	2.31
iGx481I			0.9	1.09
YGL098W			0.83	1.46
iKx070I			0.72	1.41
iGx547I			0.42	1.75
iAx107I			1.1	1.1
YHR139C	SPS100		0.91	1.31
iOx059I			0.63	1.22
iKx136I			1.06	0.98
iGx213I			0.37	2.29
YMR019W	STB4		0.75	0.96
iJx179I			1.42	0.67
YDR484W	SAC2		1.65	0.44
iBx333I			0.43	2.14
YDR150W	NUM1		1.16	0.59
iPx285I			0.68	1.55
iLx362I			0.55	1.58
YHR073W			0.71	1.48
YIR031C	DAL7		1.02	1.05
YDL133W			0.45	2.21
YDR216W	ADR1		1.59	0.66
iLx428I			0.61	1.54
YNL162W	RPL42A		0.68	1.49
YOL120C	RPL18A		0.57	1.69
iPx017I			0.5	1.92
YNL228W			0.6	1.45
iEx299I			0.5	2
YDR485C			2.36	0.42
iAx042I			0.59	1.99
iGx482I			0.77	
YDR151C	CTH1		2.39	0.53
YGL099W			0.58	1.78
iKx071I			0.72	1.51
YDL134C	PPH21		0.75	1.43
iGx548I			0.41	1.88
iAx108I			1.58	0.96
YDR217C	RAD9		2.79	0.43
YNL163C			0.62	1.41
iKx137I			4.35	0.23
YMR288W			0.67	1.38
iGx214I			1.28	0.92
iMx320I			0.73	1.57
YNL229C	URE2		0.51	1.5
YIL014W	MNT3		1.54	0.85
YOR203W			0.63	1.35
iBx334I			0.62	1.36
iPx286I			0.63	1.37
iLx363I			1.25	0.79
YHR074W			1.79	0.51
YIR032C	DAL3		0.54	1.58
iLx429I			0.56	1.72
YOL121C	RPS19A		0.69	1.57
iPx018I			0.83	1.02
YDR486C			0.61	1.84
iAx043I			1.53	0.8
iGx483I			2.23	0.46
YHR075C			4.01	0.29
YDL135C	RDI1		1.88	0.65
iGx549I			2.3	0.42
iAx109I			0.78	1.34
YDR218C	SPR28		0.53	1.88
YNL164C			1.16	0.85
iKx138I			0.84	1.16
YMR289W			1.56	0.66
iGx215I			1.16	0.71
iMx321I			1.14	0.81
YIL015W	BAR1		0.9	
YOR204W	DED1		0.92	1.17
iBx335I			0.54	1.6
YDR152W			1.56	0.68
iBx001I			0.97	1.36
iPx287I			4.47	0.16
iLx364I			0.51	1.37
YER110C	KAP123		0.88	1.26
iLx030I			0.75	1.15
YOL122C	SMF1		1.61	0.55
iPx019I			0.87	0.95
YOR205C			1.07	0.84
YDR487C	RIB3		0.56	1.76
iAx044I			1.48	0.66
iGx484I			2.33	0.49
YDR153C			1.25	0.84
iKx073I			0.71	1.24
iGx150I			0.75	1.27
YDR219C			0.63	2.18
iKx139I			0.37	2.72
iGx216I			0.87	1.18
iMx322I			1.23	0.7
YIR033W	MGA2		2.02	0.5
YIL016W	SNL1		0.52	1.82
iBx270I			0.93	0.86
YDL070W	BDF2		0.74	1.17
iBx336I			0.45	1.92
iBx002I			2.38	0.78
iPx288I			1.83	0.41
iLx365I			0.48	1.39
YHR076W			1.48	0.78
YIR034C				0.35
YDL136W	RPL35B		2.09	0.42
iLx031I			3.01	0.31
YNL165W			1.14	0.96
YDR488C	PAC11		0.55	
YDL071C			0.54	1.61
iAx045I			0.53	1.46
iGx485I			1.79	0.56
YHR077C	NMD2		0.98	1.1
YDR154C			0.58	1.57
iKx074I			0.57	1.56
iGx151I			0.55	1.58
YNL166C	BNI5		0.57	1.65
iGx217I			0.68	1.72
iMx323I			0.94	0.97
YIL017W			2.23	0.41
YOR140W	SFL1		1.29	0.86
YOL123W	HRP1		2.02	0.39
iBx271I			1.6	0.75
YOR206W			1.62	0.62
iBx337I			0.64	1.9
iBx003I			2.07	0.87
iPx289I			2.17	0.42
iLx366I			0.54	1.92
iDx520I			0.54	1.35
YIR035C			1	0.89
YDL137W	ARF2		0.61	1.47
iLx032I			0.89	1.46
YOR141C	ARP8		1.13	0.77
YKL201C	MNN4		0.64	1.56
YOL124C			0.89	1.29
YOR207C				0.63
YDL072C			0.67	1.3
iAx046I			4.41	0.31
iGx486I			0.73	1.06
YDR155C	CPH1		0.95	1.29
iKx075I			0.66	1.57
iGx152I			0.72	1.02
YNL167C	SKO1		0.65	1.27
iGx218I			1.16	0.73
YER112W	LSM4		0.79	1.23
iMx324I			1.32	0.75
YIL018W	RPL2B		1.5	0.93
iBx272I			0.76	1.38
YDR489W			0.74	1.34
iBx338I			0.48	2.1
iLx367I			0.59	1.59
YHR078W			2.42	0.51
iBx004I			2.03	0.77
iDx521I			0.73	1.12
YDL138W				0.53
YIR036C			0.66	1.27
YER113C			0.8	1.4
iLx033I			0.85	1.06
iHx110I			0.8	1.43
YDR090C			1.92	0.58
iAx047I			1.45	0.84
iGx487I			0.53	1.39
YHR079C	IRE1		1.46	0.71
iKx076I				1.84
YDL139C			0.49	1.33
iGx153I			0.45	1.64
YNL168C			0.83	1.22
YEL030W	ECM10		1.25	0.65
iGx219I			2.25	0.47
iMx325I				0.67
YIL019W			0.61	1.94
YOR142W	LSC1		0.53	2.14
YKL202W			0.8	1.08
YOL125W			0.91	1.12
iBx273I			0.65	1.86
iDx790I			0.56	1.44
YOR208W	PTP2		1.02	1
YDL073W			0.64	1.27
iBx339I			0.58	1.41
iBx005I			2.04	0.59
iLx368I			0.95	0.99
YDR156W	RPA14		0.45	1.5
iDx522I			1.72	0.65
YER114C	BOI2		0.53	1.82
YOL060C	AMI3		1.09	0.92
iLx034I			0.66	1.32
iHx111I			0.56	1.51
YOR143C	THI80		1.74	0.6
YKL203C	TOR2		2.36	0.26
YOL126C	MDH2		1.16	0.82
YOR209C	NPT1		1.76	0.55
YDR091C	RLI1		0.66	1.41
YDL074C			0.64	1.41
iAx048I			1.07	0.78
iGx488I			0.49	1.72
YPR100W			1.07	1
YJL180C	ATP12		2.23	0.64
iKx077I			0.51	1.61
iGx154I			0.66	1.41
iMx260I			0.55	1.85
YNL169C	PSD1		1.35	0.49
YEL031W	SPF1		0.85	1.29
iMx326I			2.28	0.75
YIR037W	HYR1		0.89	1.11
iBx274I			2.4	0.48
iDx791I			1.06	0.78
iLx369I			0.95	0.86
YDR157W			0.75	1.15
iDx523I			2.45	0.49
YIR038C	GTT1		0.73	1.2
YER115C	SPR6		0.41	2.01
iHx112I				1.45
iLx035I			0.51	1.49
YOR144C	EFD1		0.68	1.38
iAx049I			1.04	1.02
iGx489I			0.61	1.46
YPR101W	SNT309		1.4	0.72
iKx078I			0.98	1.08
iGx155I			0.58	1.51
iMx261I			0.45	1.91
YEL032W	MCM3		0.56	1.85
iMx327I			0.98	1.27
YOL061W	PRS5		1.39	0.78
iOx510I			0.86	1.39
YKL204W			2.8	0.44
YPR102C	RPL11A		0.84	1.25
YOL127W	RPL25		1.2	0.97
iBx275I			2.29	0.41
iDx792I			1.56	0.53
YDR092W	UBC13		0.33	1.83
YER050C			3.01	0.4
YDL075W	RPL31A		1.07	0.97
iBx007I			1.49	0.55
YDR158W	HOM2		0.43	1.92
iDx524I			1.09	0.58
YJL181W			1.68	0.68
YIR039C	YPS6		0.81	1.07
YER116C			0.43	2.14
YOL062C	APM4		0.58	2.09
iLx036I				1.87
iHx113I			3.09	0.39
YOR145C			0.54	1.93
YOL128C			1.08	0.98
YDL076C			0.4	2.04
iGx090I			0.64	1.22
YJL182C			1.06	1.16
iKx079I			0.87	1.07
iGx156I			0.91	1.01
iMx262I			0.41	2.26
YEL033W			0.66	1.15
iMx328I			0.73	1.48
YPL020C	ULP1		1.66	0.79
iOx511I			0.65	1.86
YKL205W	LOS1		0.69	1.25
iBx276I			0.98	1.11
YDR093W			0.94	1.32
YDR159W	SAC3		0.75	1.45
iBx008I			1.21	0.63
iDx525I			1.02	0.93
YOL063C			0.6	1.59
iLx037I			0.55	1.78
iHx114I			2.64	0.32
iNx220I			0.66	1.87
YKL206C			0.54	1.97
iGx091I			0.63	1.91
YDL077C	VAM6		0.68	1.34
YPR103W	PRE2		1.93	0.57
iGx157I			2.18	0.34
YER051W			3.03	0.4
iMx263I			0.48	1.54
YOR080W			1.24	0.87
iMx329I			1.05	0.82
YKL140W	TGL1		0.65	1.65
YER117W	RPL23B		1.08	1.34
iOx512I			0.79	1.15
YOR146W			0.42	2.31
YPR104C	FHL1		1.31	0.77
YOL129W			1.44	0.79
iBx277I			2.47	0.35
YDR094W			0.73	1.3
iDx460I			0.85	1.28
YER052C	HOM3		1.9	0.74
YEL035C	UTR5		0.39	1.74
YOR081C			1.14	0.9
iBx009I			0.87	
iDx526I			2.83	0.47
YJL183W	MNN11		0.7	1.43
YER118C	SSU81		1.89	0.6
YOL064C	MET22		0.61	1.48
iLx038I			0.46	1.84
iHx115I			0.9	1.29
iNx221I			0.38	2.08
YDR095C			0.73	1.18
YPL021W	ECM23		2.9	0.43
YDL078C	MDH3		0.67	1.25
iGx092I			0.57	1.72
iGx158I			1.01	1.21
iMx264I			0.84	1.12
YKL141W	SDH3		0.61	1.74
iOx513I			0.5	1.95
YOR147W			1.04	0.95
YPR105C			0.48	1.83
iBx278I				2.03
YKL207W			0.45	2.17
iDx795I			1.64	0.57
iDx461I			0.46	1.57
YER053C			0.67	1.77
iHx050I			2.64	0.37
YEL036C	ANP1		0.78	1.73
YOR082C			0.79	1.16
iDx527I			0.76	1.27
YJL184W			0.61	1.44
YER119C			0.67	1.61
YOL065C	INP54		0.61	1.52
iLx039I			0.46	1.43
iHx116I			0.56	1.7
YOR148C	SPP2		1.96	0.59
YER093C-A			0.48	1.82
YFR010W	UBP6		1.87	0.55
iNx222I			0.64	1.09
YLR450W	HMG2		0.57	1.34
YDL079C	MRK1		0.64	1.49
YPL022W	RAD1		1.06	1.01
iCx170I			1.44	0.71
iGx093I			1.27	0.8
YJL185C			0.95	1.14
iGx159I			2.26	0.42
iMx265I			1.74	0.79
YFR011C			3.2	0.31
YKL142W	MRP8		0.57	1.74
YPL023C	MET12		0.88	1.3
iOx514I			0.48	1.73
YKL208W	CBT1		0.43	2.09
iBx279I			0.51	1.62
iDx796I			1.41	0.68
YDR096W	GIS1		1.75	0.42
iDx462I			0.89	0.98
YER054C	GIP2		0.69	1.44
iHx051I			2.98	0.48
YEL037C	RAD23		1.61	0.68
iDx528I			0.63	1.39
YOL066C	RIB2		0.55	1.92
iHx117I			0.7	1.25
YOR149C	SMP3		1.07	1.24
iJx300I			1.61	1
iNx223I			0.57	1.3
YKL209C	STE6		1.11	1.15
YLR451W	LEU3		2.19	0.42
YDR097C	MSH6		1.81	0.5
YPR040W			0.63	1.69
iCx171I			0.95	1.13
iGx094I			2.62	0.37
YPR106W	ISR1		0.5	
iMx266I			0.65	1.17
YLR452C	SST2		1.61	0.6
YOR083W			0.75	1.18
YKL143W	LTV1		0.57	1.8
iOx515I			0.55	1.8
YPR107C	YTH1		0.5	2.03
iDx797I			0.7	1.59
iDx463I			0.95	0.93
YER055C	HIS1		0.57	1.23
iHx052I			1.76	0.47
iDx529I			0.44	2.07
YJL186W	MNN5		0.86	1.11
YGL221C				0.82
YKL144C	RPC25		0.72	1.24
YOL067C	RTG1		0.63	1.69
iHx118I			0.52	1.6
YFR012W			3.12	0.37
iNx224I			2.03	0.44
iJx301I			0.6	1.23
YDR098C	GRX3		0.89	1.03
YPR041W	TIF5		2.6	0.38
YPL024W	NCE4		1.08	1.13
iCx172I			0.8	1.08
iGx095I			0.71	1.77
YJL187C	SWE1		0.83	0.92
iMx267I			0.44	1.79
YLR453C	RIF2		0.45	1.84
YEL038W	UTR4		3.17	0.43
iOx450I			0.81	1.24
iIx010I			0.72	1.09
YOR084W			1.31	0.75
YPR042C			0.81	
YPL025C			0.65	1.19
iOx516I			0.69	1.49
iDx798I			0.53	1.96
iDx464I			1.92	0.5
YER056C	FCY2		0.71	1.55
iHx053I			1.15	0.77
YEL039C	CYC7		2.21	0.53
iDx130I			0.46	1.67
YGL222C			0.79	1.33
YOL068C	HST1		1.43	0.83
iHx119I			2.13	0.61
YFR013W			3.28	0.32
iNx225I			3.9	0.27
iJx302I			0.35	1.69
iCx173I			0.6	1.59
iGx096I			1.02	0.82
YPR108W	RPN7		0.65	1.62
YJL188C			0.67	1.23
iMx268I			0.42	2.34
YFR014C	CMK1		4.06	0.23
iOx451I			1.46	0.73
iIx011I			1.21	0.77
YOR085W	OST3		3.47	0.3
YLR120C	YPS1		0.76	1.78
YKL145W	RPT1		0.67	1.59
YPL026C	SKS1		1.21	0.88
iOx517I			0.56	2.22
iDx799I			0.55	1.67
YDR099W	BMH2		0.84	1.46
iDx465I			0.87	1.18
YER057C	HIG1		0.53	2.04
iHx054I			0.89	1.04
iDx131I			0.49	1.84
YGR240C	PFK1		0.76	1.46
YOR086C			1.55	0.58
iNx160I			0.42	1.52
YGL223C			1.12	1.24
iNx226I			1.76	0.54
iJx303I			0.57	1.65
YLR454W			0.94	0.67
YPR043W	RPL43A		0.88	1.44
iCx174I			0.68	1.72
iGx097I			1.34	0.73
YPR109W			1.61	0.71
YAL051W	YAF1		2.46	0.29
iMx269I			0.59	1.55
YKL080W	VMA5		0.64	1.44
YFR015C	GSY1		1.98	0.56
iOx452I			0.76	1.55
iIx012I			2.78	0.43
YLR121C	YPS3		0.52	2.17
YPR044C			0.67	1.02
YKL146W			0.55	1.86
YOL069W	NUF2		2.32	0.57
iOx518I			1.3	0.67
iDx466I			0.58	2.02
iHx055I			2.96	0.29
iDx132I			1.19	0.87
YGR241C	YAP1802		0.52	1.77
YJL189W	RPL39		0.56	1.36
iNx161I			0.5	1.54
YKL147C			0.54	1.8
YGL224C			3.63	0.29
iNx227I			0.87	1.17
iJx304I			0.48	1.33
YLR455W			0.81	1.4
iPx410I			1.02	0.65
YPL027W			2.66	0.35
iCx175I			1.05	0.83
iGx098I			0.59	2.11
YBL010C			1.52	0.7
YER058W	PET117		0.84	1.24
YKL081W	TEF4		0.57	1.94
YFR016C			0.8	1.2
iOx453I			0.57	1.53
iIx013I			1.1	1.06
YOR087W			0.57	0.92
YLR122C			0.64	1.72
YPR045C			0.88	1.34
iOx519I			0.55	1.83
YAR070C			0.48	1.76
iDx467I			0.47	1.63
YKL082C			1.42	0.71
iHx056I			1.08	0.7
iDx133I			0.92	1.13
iNx162I			1.13	0.84
YLR390W	ECM19		0.48	1.53
YKL148C	SDH1		0.81	1.48
iNx228I			0.73	1.34
iJx305I			1.67	0.57
YLR456W			1.29	1.04
iPx411I			0.93	0.78
YPL028W	ERG10		2.09	0.64
iCx176I			2.37	0.34
iGx099I			0.66	1.63
YAL053W			0.72	1.27
YHR049C-A			0.48	1.73
YER059W	PCL6		2.27	0.5
YFR017C			0.55	1.48
YLR457C	NBP1		0.87	1.12
YLL040C				0.69
iOx454I			0.66	1.42
iIx014I			0.51	1.84
YGR242W			0.52	1.62
YOR088W			1.05	1.04
YLR123C			0.61	1.71
YGL225W	GOG5		2.03	0.63
iOx120I			0.6	1.58
YAL054C	ACS1		0.74	1.13
iDx468I			0.57	1.67
iHx057I			1.46	0.6
iDx134I			1.23	0.82
YOR089C	VPS21		0.87	1.36
iNx163I			0.74	0.98
iJx240I			4.33	0.19
YKL149C	DBR1		1.36	1
YBL011W	SCT1		1.18	0.86
iNx229I			1.48	0.63
iJx306I			0.6	1.26
YHR200W	RPN10		0.69	1.29
iPx412I			1.37	0.55
YPR046W	MCM16		0.51	2.54
YPL029W	SUV3		0.77	1.47
iCx177I			2.01	0.56
YAR071W	PHO11		0.52	2.2
YLR392C			1.46	0.76
YBL012C			0.71	1.24
YGL160W			0.54	2.18
YKL083W				0.76
YFR018C			0.49	1.79
YLL041C	SDH2		1.81	0.7
iOx455I			0.83	1.06
iIx015I			0.43	1.79
YGR243W			0.64	1.44
YHR201C	PPX1		0.88	1.25
YGL226W			0.79	0.97
iOx121I			1.45	0.83
iDx469I			0.5	1.89
YGL161C			0.64	1.97
iHx058I			2.46	0.3
iDx135I			0.56	1.97
YGR244C	LSC2		0.72	1.55
iNx164I				2.1
iJx241I			2.19	0.51
iJx307I			0.57	1.8
YLR458W			0.7	1.18
iPx413I			0.44	1.63
YLR124W			0.57	1.62
YPR047W	MSF1		0.64	1.71
iCx178I			0.46	2.07
YAL055W			1.23	0.82
iOx390I			0.6	1.89
YKL084W			2.96	0.42
YLL042C	APG10		3.83	0.21
iOx456I			0.89	0.93
iIx016I			0.71	1.3
iGx610I			0.66	1.13
YGL227W	TIN1		0.89	1.07
iOx122I			1.57	0.65
iDx070I				1.77
iHx059I			1.39	
iDx136I			0.51	1.85
YGR245C			0.59	1.7
YBR030W			0.56	1.71
iNx165I			0.53	1.54
iJx242I			0.74	1.05
YLR393W	ATP10		0.86	0.69
YBL013W			0.51	1.72
YFR019W				0.73
iJx308I			1.35	0.68
YLR459W	CDC91		0.56	1.55
YHR202W			1.5	0.72
iPx414I			2.24	0.42
YLR125W			1.07	1.17
YPR048W	TAH18		2.18	0.51
iCx179I			0.43	1.72
YAR073W			1.53	0.86
YAL056W			0.74	1.24
YBL014C	RRN6		1.62	0.65
iOx391I			0.5	2.19
YGL162W	SUT1		0.65	1.76
YKL085W	MDH1		0.85	1.14
iOx457I			0.6	1.55
iIx017I			0.61	1.81
iGx611I			1.08	0.98
YLR126C			2.02	0.57
YHR203C	RPS4B		0.81	1.3
YGL228W	SHE10		0.63	1.68
YPR049C			0.81	0.83
iOx123I			1.04	1.02
iKx200I			0.51	1.79
iDx071I			1.75	0.41
YGR180C	RNR4		0.58	1.44
YGL163C	RAD54		0.61	1.63
iDx137I			2.61	0.38
YGR246C	BRF1		0.63	1.89
YBR031W	RPL4A		1.6	0.65
iNx166I			0.8	1.12
iJx243I			1.65	0.73
YLR394W			0.87	0.61
YGL229C	SAP4		1.19	1.16
YLR060W	FRS1		0.46	1.9
iJx309I			0.61	1.48
YLL043W	FPS1		1.35	0.82
iPx415I			0.66	1.04
YLR395C	COX8		2.73	0.46
iOx392I			0.37	2.76
YKL086W			0.69	0.85
iOx458I			0.85	1.11
iIx018I			0.48	1.89
iGx612I			1.46	0.93
YLR127C	APC2		0.94	1.2
iOx124I			1.2	0.89
iKx201I			0.44	1.71
YML001W	YPT7		2.67	0.29
iDx072I			1.29	0.96
YKL087C	CYT2		0.98	0.97
YGL164C			1.57	0.52
iDx138I			1.6	0.72
iNx167I			0.77	1.33
iJx244I			1.36	0.93
YBL015W	ACH1		0.71	1.46
iPx350I			0.39	1.53
YLR061W	RPL22A		0.79	1.47
YLL044W			0.6	1.61
iPx416I			0.44	1.83
YHR204W			0.53	2.24
YAR075W			1.99	0.67
YLR396C	VPS33		1.26	0.96
YAL058W	CNE1		0.47	1.93
iOx393I			0.42	1.85
YGR181W	TIM13		1.15	0.92
iEx030I			0.52	2.14
YLR062C			0.73	1.06
YLL045C	RPL8B		0.57	1.69
iOx459I			0.49	2.02
iIx019I			0.83	1.1
iGx613I			1.6	0.94
YGR247W			0.77	1.47
iOx125I			1.29	0.87
iKx202I			1.4	0.72
YML002W			3.19	0.29
iDx073I			0.47	2.14
YGR182C			1.04	0.81
YGL165C			0.65	1.36
iDx139I			1.07	0.68
YBR033W			2.32	0.56
iNx168I			1.38	0.75
iJx245I			2.44	0.42
YBL016W	FUS3		0.57	1.86
iPx351I			0.82	0.53
iPx417I			0.35	2.01
YLR128W			0.57	2.13
YHR205W	SCH9		0.59	1.81
YLR397C	AFG2		0.77	1.39
YAL059W	ECM1		0.48	1.58
YBR034C	HMT1		0.86	1.26
iOx394I			0.74	1.44
YBL017C	PEP1		1	0.81
iEx031I			0.56	1.53
YKL088W			0.92	1.06
YDL200C	MGT1		1.21	0.72
iOx060I			0.5	1.79
YGR248W	SOL4		0.96	
iOx126I			0.97	1.01
iKx203I			0.74	1.46
YMR020W	FMS1		1.83	0.61
iDx074I			0.48	2.06
YGR183C	QCR9		1.31	0.9
iJx180I			1.37	0.56
iNx169I			0.85	1.3
